kodeprov,namaprov,kodekab,namakab,kodekec,namakec
1,ACEH,1492,ACEH BARAT,1672,ARONGAN LAMBALEK
1,ACEH,1492,ACEH BARAT,1654,BUBON
1,ACEH,1492,ACEH BARAT,1493,JOHAN PAHLAWAN
1,ACEH,1492,ACEH BARAT,1515,KAWAY XVI
1,ACEH,1492,ACEH BARAT,1726,MEUREUBO
1,ACEH,1492,ACEH BARAT,1700,PANTE CEUREUMEN
1,ACEH,1492,ACEH BARAT,1804,PANTON REU
1,ACEH,1492,ACEH BARAT,1621,SAMATIGA
1,ACEH,1492,ACEH BARAT,1559,SUNGAI MAS
1,ACEH,1492,ACEH BARAT,1577,WOYLA
1,ACEH,1492,ACEH BARAT,1753,WOYLA BARAT
1,ACEH,1492,ACEH BARAT,1778,WOYLA TIMUR
1,ACEH,4989,ACEH BARAT DAYA,5093,BABAHROT
1,ACEH,4989,ACEH BARAT DAYA,4990,BLANGPIDIE
1,ACEH,4989,ACEH BARAT DAYA,5127,JEUMPA
1,ACEH,4989,ACEH BARAT DAYA,5074,KUALA BATEE
1,ACEH,4989,ACEH BARAT DAYA,5104,LEMBAH SABIL
1,ACEH,4989,ACEH BARAT DAYA,5027,MANGGENG
1,ACEH,4989,ACEH BARAT DAYA,5118,SETIA
1,ACEH,4989,ACEH BARAT DAYA,5045,SUSOH
1,ACEH,4989,ACEH BARAT DAYA,5011,TANGAN-TANGAN
1,ACEH,1824,ACEH BESAR,2391,BAITUSSALAM
1,ACEH,1824,ACEH BESAR,2425,BLANG BINTANG
1,ACEH,1824,ACEH BESAR,2060,DARUL IMARAH
1,ACEH,1824,ACEH BESAR,2376,DARUL KAMAL
1,ACEH,1824,ACEH BESAR,2233,DARUSSALAM
1,ACEH,1824,ACEH BESAR,1883,INDRAPURI
1,ACEH,1824,ACEH BESAR,2134,INGIN JAYA
1,ACEH,1824,ACEH BESAR,2308,KOTA COT GLIE
1,ACEH,1824,ACEH BESAR,2294,KOTA JANTHO
1,ACEH,1824,ACEH BESAR,2405,KRUENG BARONA JAYA
1,ACEH,1824,ACEH BESAR,2185,KUTA BARO
1,ACEH,1824,ACEH BESAR,2341,KUTA MALAKA
1,ACEH,1824,ACEH BESAR,2281,LEMBAH SEULAWAH
1,ACEH,1824,ACEH BESAR,2418,LEUPUNG
1,ACEH,1824,ACEH BESAR,1854,LHOKNGA
1,ACEH,1824,ACEH BESAR,1825,LHOONG
1,ACEH,1824,ACEH BESAR,2120,MESJID RAYA
1,ACEH,1824,ACEH BESAR,1984,MONTASIK
1,ACEH,1824,ACEH BESAR,2093,PEUKAN BADA
1,ACEH,1824,ACEH BESAR,2263,PULO ACEH
1,ACEH,1824,ACEH BESAR,1936,SEULIMEUM
1,ACEH,1824,ACEH BESAR,2357,SIMPANG TIGA
1,ACEH,1824,ACEH BESAR,2024,SUKAMAKMUR
1,ACEH,5286,ACEH JAYA,83452,DARUL HIKMAH
1,ACEH,5286,ACEH JAYA,83451,INDRA JAYA
1,ACEH,5286,ACEH JAYA,5394,JAYA
1,ACEH,5286,ACEH JAYA,5324,KRUENG SABEE
1,ACEH,5286,ACEH JAYA,5443,PANGA
1,ACEH,5286,ACEH JAYA,83453,PASIE RAYA
1,ACEH,5286,ACEH JAYA,5356,SAMPOINIET
1,ACEH,5286,ACEH JAYA,5342,SETIA BAKTI
1,ACEH,5286,ACEH JAYA,5287,TEUNOM
1,ACEH,2,ACEH SELATAN,3,BAKONGAN
1,ACEH,2,ACEH SELATAN,182,BAKONGAN TIMUR
1,ACEH,2,ACEH SELATAN,29,KLUET SELATAN
1,ACEH,2,ACEH SELATAN,190,KLUET TENGAH
1,ACEH,2,ACEH SELATAN,204,KLUET TIMUR
1,ACEH,2,ACEH SELATAN,9,KLUET UTARA
1,ACEH,2,ACEH SELATAN,248,KOTA BAHAGIA
1,ACEH,2,ACEH SELATAN,47,LABUHAN HAJI
1,ACEH,2,ACEH SELATAN,222,LABUHAN HAJI BARAT
1,ACEH,2,ACEH SELATAN,236,LABUHAN HAJI TIMUR
1,ACEH,2,ACEH SELATAN,64,MEUKEK
1,ACEH,2,ACEH SELATAN,161,PASIE RAJA
1,ACEH,2,ACEH SELATAN,87,SAMADUA
1,ACEH,2,ACEH SELATAN,116,SAWANG
1,ACEH,2,ACEH SELATAN,132,TAPAKTUAN
1,ACEH,2,ACEH SELATAN,148,TRUMON
1,ACEH,2,ACEH SELATAN,259,TRUMON TENGAH
1,ACEH,2,ACEH SELATAN,212,TRUMON TIMUR
1,ACEH,4233,ACEH SINGKIL,4329,DANAU PARIS
1,ACEH,4233,ACEH SINGKIL,4285,GUNUNG MERIAH
1,ACEH,4233,ACEH SINGKIL,4311,KOTA BAHARU
1,ACEH,4233,ACEH SINGKIL,4355,KUALA BARU
1,ACEH,4233,ACEH SINGKIL,4234,PULAU BANYAK
1,ACEH,4233,ACEH SINGKIL,4360,PULAU BANYAK BARAT
1,ACEH,4233,ACEH SINGKIL,4242,SIMPANG KANAN
1,ACEH,4233,ACEH SINGKIL,4268,SINGKIL
1,ACEH,4233,ACEH SINGKIL,4321,SINGKIL UTARA
1,ACEH,4233,ACEH SINGKIL,4348,SINGKOHOR
1,ACEH,4233,ACEH SINGKIL,4336,SURO MAKMUR
1,ACEH,5694,ACEH TAMIANG,5872,BANDA MULIA
1,ACEH,5694,ACEH TAMIANG,5883,BANDAR PUSAKA
1,ACEH,5694,ACEH TAMIANG,5732,BENDAHARA
1,ACEH,5694,ACEH TAMIANG,5766,KARANG BARU
1,ACEH,5694,ACEH TAMIANG,5829,KEJURUAN MUDA
1,ACEH,5694,ACEH TAMIANG,5823,KOTA KUALASIMPANG
1,ACEH,5694,ACEH TAMIANG,5695,MANYAK PAYED
1,ACEH,5694,ACEH TAMIANG,5855,RANTAU
1,ACEH,5694,ACEH TAMIANG,5905,SEKERAK
1,ACEH,5694,ACEH TAMIANG,5798,SERUWAY
1,ACEH,5694,ACEH TAMIANG,5845,TAMIANG HULU
1,ACEH,5694,ACEH TAMIANG,5899,TENGGULUN
1,ACEH,1207,ACEH TENGAH,1322,ATU LINTANG
1,ACEH,1207,ACEH TENGAH,1267,BEBESEN
1,ACEH,1207,ACEH TENGAH,1295,BIES
1,ACEH,1207,ACEH TENGAH,1362,BINTANG
1,ACEH,1207,ACEH TENGAH,1459,CELALA
1,ACEH,1207,ACEH TENGAH,1386,JAGONG JEGET
1,ACEH,1207,ACEH TENGAH,1420,KEBAYAKAN
1,ACEH,1207,ACEH TENGAH,1394,KETOL
1,ACEH,1207,ACEH TENGAH,1440,KUTE PANANG
1,ACEH,1207,ACEH TENGAH,1208,LINGE
1,ACEH,1207,ACEH TENGAH,1476,LUT TAWAR
1,ACEH,1207,ACEH TENGAH,1332,PEGASING
1,ACEH,1207,ACEH TENGAH,1307,RUSIP ANTARA
1,ACEH,1207,ACEH TENGAH,1233,SILIH NARA
1,ACEH,269,ACEH TENGGARA,416,BABUL MAKMUR
1,ACEH,269,ACEH TENGGARA,536,BABUL RAHMAH
1,ACEH,269,ACEH TENGGARA,369,BABUSSALAM
1,ACEH,269,ACEH TENGGARA,397,BADAR
1,ACEH,269,ACEH TENGGARA,335,BAMBEL
1,ACEH,269,ACEH TENGGARA,492,BUKIT TUSAM
1,ACEH,269,ACEH TENGGARA,438,DARUL HASANAH
1,ACEH,269,ACEH TENGGARA,590,DELENG POKHKISEN
1,ACEH,269,ACEH TENGGARA,564,KETAMBE
1,ACEH,269,ACEH TENGGARA,270,LAWE ALAS
1,ACEH,269,ACEH TENGGARA,467,LAWE BULAN
1,ACEH,269,ACEH TENGGARA,299,LAWE SIGALA-GALA
1,ACEH,269,ACEH TENGGARA,613,LAWE SUMUR
1,ACEH,269,ACEH TENGGARA,647,LEUSER
1,ACEH,269,ACEH TENGGARA,516,SEMADAM
1,ACEH,269,ACEH TENGGARA,632,TANOH ALAS
1,ACEH,671,ACEH TIMUR,1063,BANDA ALAM
1,ACEH,671,ACEH TIMUR,792,BIREM BAYEUN
1,ACEH,671,ACEH TIMUR,672,DARUL AMAN
1,ACEH,671,ACEH TIMUR,1175,DARUL FALAH
1,ACEH,671,ACEH TIMUR,1158,DARUL IHSAN
1,ACEH,671,ACEH TIMUR,756,IDI RAYEUK
1,ACEH,671,ACEH TIMUR,1187,IDI TIMUR
1,ACEH,671,ACEH TIMUR,1037,IDI TUNONG
1,ACEH,671,ACEH TIMUR,1023,INDRA MAKMU
1,ACEH,671,ACEH TIMUR,718,JULOK
1,ACEH,671,ACEH TIMUR,996,MADAT
1,ACEH,671,ACEH TIMUR,838,NURUSSALAM
1,ACEH,671,ACEH TIMUR,972,PANTE BIDARI
1,ACEH,671,ACEH TIMUR,1080,PEUDAWA
1,ACEH,671,ACEH TIMUR,1201,PEUNARON
1,ACEH,671,ACEH TIMUR,870,PEUREULAK
1,ACEH,671,ACEH TIMUR,1119,PEUREULAK BARAT
1,ACEH,671,ACEH TIMUR,1098,PEUREULAK TIMUR
1,ACEH,671,ACEH TIMUR,948,RANTAU PEUREULAK
1,ACEH,671,ACEH TIMUR,909,RANTAU SELAMAT
1,ACEH,671,ACEH TIMUR,820,SERBAJADI
1,ACEH,671,ACEH TIMUR,1149,SIMPANG JERNIH
1,ACEH,671,ACEH TIMUR,924,SIMPANG ULIM
1,ACEH,671,ACEH TIMUR,1135,SUNGAI RAYA
1,ACEH,3205,ACEH UTARA,3206,BAKTIYA
1,ACEH,3205,ACEH UTARA,3916,BAKTIYA BARAT
1,ACEH,3205,ACEH UTARA,4069,BANDA BARO
1,ACEH,3205,ACEH UTARA,3867,COT GIREK
1,ACEH,3205,ACEH UTARA,3264,DEWANTARA
1,ACEH,3205,ACEH UTARA,4057,GEUREDONG PASE
1,ACEH,3205,ACEH UTARA,3280,KUTA MAKMUR
1,ACEH,3205,ACEH UTARA,3892,LANGKAHAN
1,ACEH,3205,ACEH UTARA,4021,LAPANG
1,ACEH,3205,ACEH UTARA,3320,LHOKSUKON
1,ACEH,3205,ACEH UTARA,3397,MATANGKULI
1,ACEH,3205,ACEH UTARA,3472,MEURAH MULIA
1,ACEH,3205,ACEH UTARA,3447,MUARA BATU
1,ACEH,3205,ACEH UTARA,3983,NIBONG
1,ACEH,3205,ACEH UTARA,3837,NISAM
1,ACEH,3205,ACEH UTARA,4079,NISAM ANTARA
1,ACEH,3205,ACEH UTARA,3943,PAYA BAKONG
1,ACEH,3205,ACEH UTARA,4033,PIRAK TIMUR
1,ACEH,3205,ACEH UTARA,3523,SAMUDERA
1,ACEH,3205,ACEH UTARA,3797,SAWANG
1,ACEH,3205,ACEH UTARA,3564,SEUNUDDON
1,ACEH,3205,ACEH UTARA,4004,SIMPANG KRAMAT
1,ACEH,3205,ACEH UTARA,3598,SYAMTALIRA ARON
1,ACEH,3205,ACEH UTARA,3633,SYAMTALIRA BAYU
1,ACEH,3205,ACEH UTARA,3672,TANAH LUAS
1,ACEH,3205,ACEH UTARA,3730,TANAH PASIR
1,ACEH,3205,ACEH UTARA,3749,T. JAMBO AYE
1,ACEH,5920,BENER MERIAH,6045,BANDAR
1,ACEH,5920,BENER MERIAH,6126,BENER KELIPAH
1,ACEH,5920,BENER MERIAH,5976,BUKIT
1,ACEH,5920,BENER MERIAH,6155,GAJAH PUTIH
1,ACEH,5920,BENER MERIAH,6139,MESIDAH
1,ACEH,5920,BENER MERIAH,6098,PERMATA
1,ACEH,5920,BENER MERIAH,5952,PINTU RIME GAYO
1,ACEH,5920,BENER MERIAH,6081,SYIAH UTAMA
1,ACEH,5920,BENER MERIAH,5921,TIMANG GAJAH
1,ACEH,5920,BENER MERIAH,6017,WIH PESAM
1,ACEH,4362,BIREUEN,4648,GANDAPURA
1,ACEH,4362,BIREUEN,4746,JANGKA
1,ACEH,4362,BIREUEN,4507,JEUMPA
1,ACEH,4362,BIREUEN,4410,JEUNIEB
1,ACEH,4362,BIREUEN,4709,JULI
1,ACEH,4362,BIREUEN,4858,KOTA JUANG
1,ACEH,4362,BIREUEN,4882,KUALA
1,ACEH,4362,BIREUEN,4947,KUTA BLANG
1,ACEH,4362,BIREUEN,4620,MAKMUR
1,ACEH,4362,BIREUEN,4689,PANDRAH
1,ACEH,4362,BIREUEN,4454,PEUDADA
1,ACEH,4362,BIREUEN,4835,PEULIMBANG
1,ACEH,4362,BIREUEN,4550,PEUSANGAN
1,ACEH,4362,BIREUEN,4925,PEUSANGAN SELATAN
1,ACEH,4362,BIREUEN,4903,PEUSANGAN SIBLAH KRUENG
